# Dieser Datensatz umfasst die bewohnten Wohnungen mit Wohnungsfläche sowie
# Personenangaben der Bewohnerschaft zur Haushaltsstruktur, aufgegliedert für
# mehrheitlich gemeinnützige und andere Eigentumsarten sowie Neubauart (z.B.
# Ersatzneubau).

# Die Daten stammen aus der Datenbank «Gebäude- und Wohnungsregister der Stadt
# Zürich» (GWZ) und dem Bevölkerungsregister (BVS) von Statistik Stadt Zürich.
# Die abgeglichenen Register werden seit 2014 laufend weitergeführt und
# bereinigt.  Datenquelle :
#
# Datenquelle und detaillierte Beschreibung der Variablen:
# https://data.stadt-zuerich.ch/dataset/bau_best_whg_pers_haush_quartier_neubauart_gemeinnuetzig_seit2014
#
"ReportJahr","StatistikJahr","QuarSort","QuarLang","HptEigGruppe","ArtErsatzneubau","AnzWhgBew","WohnFlBew","PersInWhgGT2","inHh_PamK","inHh_1ElK","inHh_UemK","inHh_1P","inHh_2P","inHh_EpoK","inHh_WGoK"
2017,2015,24,"Enge","Im Stockwerkeigentum","Altbau (bis 2006)",420,45337,902,302,28,96,165,94,162,50
2017,2016,24,"Enge","Im Stockwerkeigentum","Altbau (bis 2006)",441,47233,953,298,33,123,175,96,156,73
2017,2016,24,"Enge","Im Stockwerkeigentum","Neubau als Umnutzung",10,1059,17,3,0,0,5,4,2,3
2017,2014,24,"Enge","Im Stockwerkeigentum","Neubau auf unbebautem Land",16,2870,44,20,0,9,5,6,4,0
2017,2015,24,"Enge","Im Stockwerkeigentum","Neubau auf unbebautem Land",20,3189,51,17,0,13,6,8,6,0
2017,2016,24,"Enge","Im Stockwerkeigentum","Neubau auf unbebautem Land",33,4332,81,35,0,11,12,12,10,0
2017,2014,24,"Enge","Öffentl./Genossenschaftl.","Altbau (bis 2006)",348,25666,751,261,100,49,127,88,84,46
2017,2015,24,"Enge","Öffentl./Genossenschaftl.","Altbau (bis 2006)",349,25731,779,281,99,54,124,94,80,42
2017,2016,24,"Enge","Öffentl./Genossenschaftl.","Altbau (bis 2006)",348,25837,769,312,90,38,134,66,78,55
2017,2014,24,"Enge","Übrige Eigentümerschaften","Altbau (bis 2006)",3415,303124,6670,1791,182,445,1584,1168,826,668
2017,2015,24,"Enge","Übrige Eigentümerschaften","Altbau (bis 2006)",3415,304665,6696,1796,209,455,1628,1162,748,672
2017,2016,24,"Enge","Übrige Eigentümerschaften","Altbau (bis 2006)",3410,301122,6642,1767,197,461,1637,1172,744,658
2017,2016,24,"Enge","Übrige Eigentümerschaften","Neubau als Umnutzung",1,200,4,".",".",".",".",".",".","."
2017,2014,24,"Enge","Übrige Eigentümerschaften","Neubau als Wohnersatz",102,9954,208,84,4,0,32,44,42,3
2017,2015,24,"Enge","Übrige Eigentümerschaften","Neubau als Wohnersatz",192,18631,403,181,11,3,67,74,56,10
2017,2016,24,"Enge","Übrige Eigentümerschaften","Neubau als Wohnersatz",196,19093,421,187,11,17,62,86,48,12
2017,2014,24,"Enge","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,180,".",".",".",".",".",".",".","."
2017,2015,24,"Enge","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,180,".",".",".",".",".",".",".","."
2017,2016,24,"Enge","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,180,".",".",".",".",".",".",".","."
2017,2014,31,"Alt-Wiedikon","Im Stockwerkeigentum","Altbau (bis 2006)",472,40209,933,225,35,86,192,156,170,71
2017,2015,31,"Alt-Wiedikon","Im Stockwerkeigentum","Altbau (bis 2006)",463,39730,967,217,36,157,185,168,132,72
2017,2016,31,"Alt-Wiedikon","Im Stockwerkeigentum","Altbau (bis 2006)",478,40722,980,225,29,135,196,174,128,91
2017,2014,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau als Umnutzung",224,27375,580,255,8,93,68,76,62,21
2017,2015,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau als Umnutzung",242,29448,623,260,6,100,79,74,62,39
2017,2016,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau als Umnutzung",239,29222,673,269,11,138,70,68,48,70
2017,2014,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau als Wohnersatz",51,5827,122,51,9,9,14,10,8,22
2017,2015,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau als Wohnersatz",48,5495,113,51,9,9,14,12,8,10
2017,2016,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau als Wohnersatz",48,5542,119,48,9,14,12,16,10,10
2017,2014,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau auf unbebautem Land",8,1200,25,14,0,7,1,0,0,3
2017,2015,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau auf unbebautem Land",8,1200,26,15,0,7,1,0,0,3
2017,2016,31,"Alt-Wiedikon","Im Stockwerkeigentum","Neubau auf unbebautem Land",7,1054,27,8,0,18,1,0,0,0
2017,2014,31,"Alt-Wiedikon","Öffentl./Genossenschaftl.","Altbau (bis 2006)",738,51650,1504,428,97,225,377,164,140,79
2017,2015,31,"Alt-Wiedikon","Öffentl./Genossenschaftl.","Altbau (bis 2006)",738,51786,1521,459,78,236,383,164,130,66
2017,2016,31,"Alt-Wiedikon","Öffentl./Genossenschaftl.","Altbau (bis 2006)",757,52909,1560,491,110,221,380,172,122,62
2017,2014,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Altbau (bis 2006)",6832,487027,12628,2891,359,1033,3492,2534,1198,1091
2017,2015,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Altbau (bis 2006)",6877,492259,12733,3050,332,929,3486,2672,1192,1055
2017,2016,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Altbau (bis 2006)",6938,494568,12927,3045,336,1013,3502,2648,1216,1142
2017,2014,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau als Umnutzung",126,14651,317,122,6,34,20,66,40,31
2017,2015,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau als Umnutzung",129,14807,323,139,4,24,24,64,46,15
2017,2016,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau als Umnutzung",128,14941,330,167,0,23,23,54,44,24
2017,2014,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau als Wohnersatz",87,8978,199,80,0,12,24,36,32,14
2017,2015,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau als Wohnersatz",96,9667,218,97,0,11,25,44,28,14
2017,2016,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau als Wohnersatz",97,9761,223,100,0,11,27,46,26,13
2017,2014,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau auf unbebautem Land",36,3626,59,3,0,0,19,24,2,11
2017,2015,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau auf unbebautem Land",38,3792,64,7,0,0,20,20,8,6
2017,2016,31,"Alt-Wiedikon","Übrige Eigentümerschaften","Neubau auf unbebautem Land",37,3618,65,3,0,0,16,18,10,18
2017,2014,33,"Friesenberg","Im Stockwerkeigentum","Altbau (bis 2006)",133,12893,258,74,13,30,67,32,24,16
2017,2015,33,"Friesenberg","Im Stockwerkeigentum","Altbau (bis 2006)",145,14202,278,98,10,26,75,34,26,9
2017,2016,33,"Friesenberg","Im Stockwerkeigentum","Altbau (bis 2006)",149,14413,288,92,13,34,74,44,18,13
2017,2014,33,"Friesenberg","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2656,210533,7259,3965,774,576,697,258,818,154
2017,2015,33,"Friesenberg","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2650,209800,7195,4009,794,509,711,250,814,110
2017,2016,33,"Friesenberg","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2640,209333,7160,4059,793,483,732,204,786,104
2017,2014,33,"Friesenberg","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",151,15667,482,336,22,22,11,12,80,0
2017,2015,33,"Friesenberg","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",151,15667,482,338,25,15,11,12,78,4
2017,2016,33,"Friesenberg","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",313,28630,853,533,55,23,62,40,128,11
